,issue,urgency
21,"A distressing situation unfolded when I discovered unauthorized withdrawals from my savings account, which I did not initiate or authorize. These unauthorized transactions have raised concerns about the security of my account and potential fraudulent activity. Urgent intervention is necessary to investigate these withdrawals, block any further unauthorized access to my account, and initiate the recovery of the wrongfully deducted funds. I urge the bank to prioritize this matter and take immediate action to safeguard my financial interests.",0.93
22,"An alarming discrepancy has emerged in the interest calculation of my auto loan, where the accrued interest appears to be significantly higher than anticipated based on the agreed-upon terms. This discrepancy has raised concerns about potential overcharging by the bank and the accuracy of the loan calculations. Urgent clarification and adjustment are needed to rectify this discrepancy and ensure the accurate calculation of interest on my auto loan. I urge the bank to promptly review and correct this issue to prevent further financial implications.",0.94
23,"I encountered an unexpected delay in processing a wire transfer initiated from my account, which has caused uncertainty and frustration about the status of the transfer. This delay is particularly concerning as the funds are urgently needed for a time-sensitive transaction. Urgent attention is required to expedite the processing of the wire transfer and ensure the timely completion of the transaction. I urge the bank to prioritize this matter and take immediate steps to resolve the delay.",0.95
24,"A distressing situation unfolded when I discovered an unauthorized charge on my debit card statement for a transaction I did not initiate or authorize. This unauthorized deduction has raised concerns about the security of my account and potential fraudulent activity. Urgent intervention is necessary to investigate this charge, reverse the unauthorized transaction, and enhance the security measures of my debit card account. I urge the bank to prioritize this matter and take immediate action to safeguard my financial interests.",0.96
25,"An unsettling discrepancy has emerged in the balance of my savings account, where the available balance is significantly lower than expected. This unexpected reduction in my account balance has raised concerns about unauthorized transactions or errors in the bank's records. Urgent investigation is necessary to identify the cause of the discrepancy and rectify any inaccuracies in my account balance. I urge the bank to prioritize this matter and take immediate steps to restore the integrity of my account.",0.97
26,"I encountered an unexpected delay in receiving a refund for a canceled reservation made with my credit card. Despite the merchant confirming the refund, the credited amount has not reflected in my account, causing financial inconvenience and uncertainty. Urgent investigation and resolution are needed to ensure the timely crediting of the refund to my account. I urge the bank to expedite the resolution process to mitigate the financial inconvenience caused by this delay.",0.98
27,"A distressing situation unfolded when I discovered unauthorized withdrawals from my checking account, which I did not initiate or authorize. These unauthorized transactions have raised concerns about the security of my account and potential fraudulent activity. Urgent intervention is necessary to investigate these withdrawals, block any further unauthorized access to my account, and initiate the recovery of the wrongfully deducted funds. I urge the bank to prioritize this matter and take immediate action to safeguard my financial interests.",0.99
28,"An alarming discrepancy has emerged in the interest calculation of my personal loan, where the accrued interest appears to be significantly higher than anticipated based on the agreed-upon terms. This discrepancy has raised concerns about potential overcharging by the bank and the accuracy of the loan calculations. Urgent clarification and adjustment are needed to rectify this discrepancy and ensure the accurate calculation of interest on my personal loan. I urge the bank to promptly review and correct this issue to prevent further financial implications.",0.85
29,"I encountered an unexpected delay in receiving a refund for a canceled reservation made with my debit card. Despite the merchant confirming the refund, the credited amount has not reflected in my account, causing financial inconvenience and uncertainty. Urgent investigation and resolution are needed to ensure the timely crediting of the refund to my account. I urge the bank to expedite the resolution process to mitigate the financial inconvenience caused by this delay.",0.86
30,"A distressing situation unfolded when I discovered unauthorized charges on my credit card statement for transactions I did not initiate or authorize. These unauthorized deductions have raised concerns about the security of my account and potential fraudulent activity. Urgent intervention is necessary to investigate these charges, reverse any unauthorized transactions, and enhance the security measures of my credit card account. I urge the bank to prioritize this matter and take immediate action to safeguard my financial interests.",0.87
31,"An unsettling discrepancy has emerged in the balance of my checking account, where the available balance is significantly lower than expected. This unexpected reduction in my account balance has raised concerns about unauthorized transactions or errors in the bank's records. Urgent investigation is necessary to identify the cause of the discrepancy and rectify any inaccuracies in my account balance. I urge the bank to prioritize this matter and take immediate steps to restore the integrity of my account.",0.88
32,"I encountered an unexpected delay in receiving a refund for a returned purchase made with my credit card. Despite the merchant confirming the refund, the credited amount has not reflected in my account, causing financial inconvenience and uncertainty. Urgent investigation and resolution are needed to ensure the timely crediting of the refund to my account. I urge the bank to expedite the resolution process to mitigate the financial inconvenience caused by this delay.",0.89
33,"A distressing situation unfolded when I discovered unauthorized withdrawals from my savings account, which I did not initiate or authorize. These unauthorized transactions have raised concerns about the security of my account and potential fraudulent activity. Urgent intervention is necessary to investigate these withdrawals, block any further unauthorized access to my account, and initiate the recovery of the wrongfully deducted funds. I urge the bank to prioritize this matter and take immediate action to safeguard my financial interests.",0.9
34,"An alarming discrepancy has emerged in the interest calculation of my auto loan, where the accrued interest appears to be significantly higher than anticipated based on the agreed-upon terms. This discrepancy has raised concerns about potential overcharging by the bank and the accuracy of the loan calculations. Urgent clarification and adjustment are needed to rectify this discrepancy and ensure the accurate calculation of interest on my auto loan. I urge the bank to promptly review and correct this issue to prevent further financial implications.",0.91
35,"I encountered an unexpected delay in processing a wire transfer initiated from my account, which has caused uncertainty and frustration about the status of the transfer. This delay is particularly concerning as the funds are urgently needed for a time-sensitive transaction. Urgent attention is required to expedite the processing of the wire transfer and ensure the timely completion of the transaction. I urge the bank to prioritize this matter and take immediate steps to resolve the delay.",0.92
36,"A distressing situation unfolded when I discovered an unauthorized charge on my debit card statement for a transaction I did not initiate or authorize. This unauthorized deduction has raised concerns about the security of my account and potential fraudulent activity. Urgent intervention is necessary to investigate this charge, reverse the unauthorized transaction, and enhance the security measures of my debit card account. I urge the bank to prioritize this matter and take immediate action to safeguard my financial interests.",0.93
37,"An unsettling discrepancy has emerged in the balance of my savings account, where the available balance is significantly lower than expected. This unexpected reduction in my account balance has raised concerns about unauthorized transactions or errors in the bank's records. Urgent investigation is necessary to identify the cause of the discrepancy and rectify any inaccuracies in my account balance. I urge the bank to prioritize this matter and take immediate steps to restore the integrity of my account.",0.94
38,"I encountered an unexpected delay in receiving a refund for a canceled reservation made with my credit card. Despite the merchant confirming the refund, the credited amount has not reflected in my account, causing financial inconvenience and uncertainty. Urgent investigation and resolution are needed to ensure the timely crediting of the refund to my account. I urge the bank to expedite the resolution process to mitigate the financial inconvenience caused by this delay.",0.95
39,"A distressing situation unfolded when I discovered unauthorized withdrawals from my checking account, which I did not initiate or authorize. These unauthorized transactions have raised concerns about the security of my account and potential fraudulent activity. Urgent intervention is necessary to investigate these withdrawals, block any further unauthorized access to my account, and initiate the recovery of the wrongfully deducted funds. I urge the bank to prioritize this matter and take immediate action to safeguard my financial interests.",0.96
40,"An alarming discrepancy has emerged in the interest calculation of my personal loan, where the accrued interest appears to be significantly higher than anticipated based on the agreed-upon terms. This discrepancy has raised concerns about potential overcharging by the bank and the accuracy of the loan calculations. Urgent clarification and adjustment are needed to rectify this discrepancy and ensure the accurate calculation of interest on my personal loan. I urge the bank to promptly review and correct this issue to prevent further financial implications.",0.97
41,"I encountered an unexpected delay in processing a wire transfer initiated from my account, which has caused uncertainty and frustration about the status of the transfer. This delay is particularly concerning as the funds are urgently needed for a time-sensitive transaction. Urgent attention is required to expedite the processing of the wire transfer and ensure the timely completion of the transaction. I urge the bank to prioritize this matter and take immediate steps to resolve the delay.",0.98
42,"A distressing situation unfolded when I discovered an unauthorized charge on my debit card statement for a transaction I did not initiate or authorize. This unauthorized deduction has raised concerns about the security of my account and potential fraudulent activity. Urgent intervention is necessary to investigate this charge, reverse the unauthorized transaction, and enhance the security measures of my debit card account. I urge the bank to prioritize this matter and take immediate action to safeguard my financial interests.",0.99
0,"I encountered difficulty logging into the bank's mobile banking app, despite entering the correct credentials. This unexpected issue has left me unable to access my account and manage my finances conveniently. Prompt assistance is required to troubleshoot and resolve this login issue. I urge the bank to prioritize this matter and ensure the seamless functioning of its mobile banking app.",0.6
1,"While using the bank's mobile banking app, I noticed that some of my recent transactions are not reflecting accurately in the transaction history. This discrepancy has raised concerns about the reliability of the app's transaction tracking feature. Moderate attention is required to investigate and rectify this issue to ensure the accuracy of transaction records within the app. I urge the bank to address this matter promptly to maintain customer trust and confidence in the app's functionality.",0.58
2,"Upon attempting to transfer funds using the bank's mobile banking app, I encountered an error message indicating a transaction failure. This unexpected error has hindered my ability to complete essential financial transactions conveniently. Moderate attention is required to identify the cause of this transaction failure and implement necessary fixes to ensure seamless fund transfers via the app. I urge the bank to address this issue promptly to minimize customer inconvenience.",0.59
3,"While navigating through the bank's mobile banking app, I experienced frequent lags and slow loading times, impacting the app's overall performance and user experience. This persistent issue has made it challenging to access account information and perform transactions efficiently. Moderate attention is required to optimize the app's performance and enhance its responsiveness for seamless user interaction. I urge the bank to prioritize this matter and invest in improving the app's speed and stability.",0.62
4,"I encountered an unexpected error while attempting to update my personal information through the bank's mobile banking app. Despite multiple attempts, I was unable to successfully save the changes, leading to frustration and inconvenience. Moderate attention is required to troubleshoot and resolve this error to ensure customers can update their information seamlessly using the app. I urge the bank to address this issue promptly to enhance the app's functionality and user experience.",0.65
5,"Upon reviewing my account balance on the bank's mobile banking app, I noticed that it does not reflect the most recent transactions, leading to discrepancies in the displayed balance. This inconsistency has raised concerns about the accuracy of account information provided through the app. Moderate attention is required to synchronize transaction data and update account balances in real-time within the app. I urge the bank to address this issue promptly to ensure customers have access to up-to-date account information.",0.63
6,"While attempting to set up account alerts on the bank's mobile banking app, I encountered difficulties configuring the notification preferences according to my requirements. This usability issue has hindered my ability to receive timely alerts about account activities and transactions. Moderate attention is required to streamline the alert setup process and improve user guidance within the app. I urge the bank to prioritize this matter and enhance the app's alert management functionality.",0.66
7,"While using the bank's mobile banking app to pay bills, I encountered an error message indicating a payment processing failure. This unexpected issue has disrupted my bill payment schedule and caused inconvenience. Moderate attention is required to identify the cause of this payment failure and implement necessary fixes to ensure seamless bill payments via the app. I urge the bank to address this issue promptly to minimize customer inconvenience and maintain the reliability of its app.",0.68
8,"I attempted to access my account statements through the bank's mobile banking app, but I encountered difficulties downloading and viewing the statements. This usability issue has made it challenging to review my account activity and track financial transactions conveniently. Moderate attention is required to optimize the statement viewing functionality within the app and ensure seamless access to account statements. I urge the bank to address this matter promptly to enhance the app's usability.",0.67
9,"Upon attempting to update the bank's mobile banking app to the latest version, I encountered an error preventing the installation process from completing successfully. This unexpected issue has hindered my ability to access the app's latest features and enhancements. Moderate attention is required to troubleshoot and resolve this installation error to ensure customers can update their apps seamlessly. I urge the bank to address this issue promptly to maintain the app's functionality and security.",0.69
10,"While attempting to initiate a mobile deposit through the bank's mobile banking app, I encountered difficulties capturing and processing the check images, leading to multiple failed attempts. This usability issue has made it challenging to deposit checks conveniently using the app. Moderate attention is required to optimize the mobile deposit feature and enhance image capture and processing capabilities. I urge the bank to prioritize this matter and improve the app's check deposit functionality.",0.71
11,"I encountered an unexpected error while attempting to access the bank's mobile banking app, with the app crashing repeatedly upon launch. This persistent issue has hindered my ability to use the app for essential financial tasks and inquiries. Moderate attention is required to identify the cause of these app crashes and implement necessary fixes to ensure stable app performance. I urge the bank to address this issue promptly to minimize customer inconvenience.",0.72
12,"While attempting to initiate a fund transfer using the bank's mobile banking app, I encountered an error message indicating a transaction processing delay. This unexpected delay has disrupted my financial transactions and caused uncertainty about the status of the transfer. Moderate attention is required to investigate the cause of this delay and expedite the processing of the fund transfer. I urge the bank to address this issue promptly to minimize customer inconvenience.",0.73
13,"Upon attempting to access my credit card account information through the bank's mobile banking app, I encountered difficulties navigating the interface and locating specific details about my account. This usability issue has hindered my ability to manage my credit card account conveniently using the app. Moderate attention is required to optimize the account information display and improve user navigation within the app. I urge the bank to prioritize this matter and enhance the app's credit card management functionality.",0.75
14,"While attempting to initiate a mobile deposit through the bank's mobile banking app, I encountered difficulties capturing and processing the check images, leading to multiple failed attempts. This usability issue has made it challenging to deposit checks conveniently using the app. Moderate attention is required to optimize the mobile deposit feature and enhance image capture and processing capabilities. I urge the bank to prioritize this matter and improve the app's check deposit functionality.",0.77
15,"I encountered an unexpected error while attempting to access the bank's mobile banking app, with the app freezing and becoming unresponsive intermittently. This persistent issue has hindered my ability to use the app for essential financial tasks and inquiries. Moderate attention is required to identify the cause of these freezes and implement necessary fixes to ensure smooth app performance. I urge the bank to address this issue promptly to minimize customer inconvenience.",0.76
16,"While using the bank's mobile banking app to transfer funds, I noticed a discrepancy between the amount entered for transfer and the amount deducted from my account. This discrepancy has raised concerns about the accuracy of fund transfer transactions processed through the app. Moderate attention is required to investigate the cause of this discrepancy and ensure the correct deduction of funds during transfers. I urge the bank to address this issue promptly to maintain transaction accuracy.",0.78
17,"Upon attempting to access my account statements through the bank's mobile banking app, I encountered difficulties downloading and viewing the statements. This usability issue has made it challenging to review my account activity and track financial transactions conveniently. Moderate attention is required to optimize the statement viewing functionality within the app and ensure seamless access to account statements. I urge the bank to address this matter promptly to enhance the app's usability.",0.79
18,"While attempting to initiate a mobile deposit through the bank's mobile banking app, I encountered difficulties capturing and processing the check images, leading to multiple failed attempts. This usability issue has made it challenging to deposit checks conveniently using the app. Moderate attention is required to optimize the mobile deposit feature and enhance image capture and processing capabilities. I urge the bank to prioritize this matter and improve the app's check deposit functionality.",0.8
19,"I encountered an unexpected error while attempting to access the bank's mobile banking app, with the app crashing repeatedly upon launch. This persistent issue has hindered my ability to use the app for essential financial tasks and inquiries. Moderate attention is required to identify the cause of these app crashes and implement necessary fixes to ensure stable app performance. I urge the bank to address this issue promptly to minimize customer inconvenience.",0.82
20,"While attempting to initiate a fund transfer using the bank's mobile banking app, I encountered an error message indicating a transaction processing delay. This unexpected delay has disrupted my financial transactions and caused uncertainty about the status of the transfer. Moderate attention is required to investigate the cause of this delay and expedite the processing of the fund transfer. I urge the bank to address this issue promptly to minimize customer inconvenience.",0.81
21,"Upon attempting to access my credit card account information through the bank's mobile banking app, I encountered difficulties navigating the interface and locating specific details about my account. This usability issue has hindered my ability to manage my credit card account conveniently using the app. Moderate attention is required to optimize the account information display and improve user navigation within the app. I urge the bank to prioritize this matter and enhance the app's credit card management functionality.",0.83
22,"While using the bank's mobile banking app to transfer funds, I noticed a discrepancy between the amount entered for transfer and the amount deducted from my account. This discrepancy has raised concerns about the accuracy of fund transfer transactions processed through the app. Moderate attention is required to investigate the cause of this discrepancy and ensure the correct deduction of funds during transfers. I urge the bank to address this issue promptly to maintain transaction accuracy.",0.85
23,"Upon attempting to access my account statements through the bank's mobile banking app, I encountered difficulties downloading and viewing the statements. This usability issue has made it challenging to review my account activity and track financial transactions conveniently. Moderate attention is required to optimize the statement viewing functionality within the app and ensure seamless access to account statements. I urge the bank to address this matter promptly to enhance the app's usability.",0.84
24,"While attempting to initiate a mobile deposit through the bank's mobile banking app, I encountered difficulties capturing and processing the check images, leading to multiple failed attempts. This usability issue has made it challenging to deposit checks conveniently using the app. Moderate attention is required to optimize the mobile deposit feature and enhance image capture and processing capabilities. I urge the bank to prioritize this matter and improve the app's check deposit functionality.",0.87
25,"I encountered an unexpected error while attempting to access the bank's mobile banking app, with the app crashing repeatedly upon launch. This persistent issue has hindered my ability to use the app for essential financial tasks and inquiries. Moderate attention is required to identify the cause of these app crashes and implement necessary fixes to ensure stable app performance. I urge the bank to address this issue promptly to minimize customer inconvenience.",0.86
0,"I noticed a minor typographical error in the 'About Us' section of the bank's website. While it doesn't affect functionality, correcting it would improve the professionalism of the site. Low urgency.",0.2
1,The color scheme of the bank's mobile app doesn't match my personal preferences. It would be nice if users could customize the app's appearance. Low urgency.,0.25
2,I received a promotional email from the bank advertising a new service that I'm not interested in. It would be better if the bank allowed users to opt out of certain email categories. Low urgency.,0.3
3,"The bank's website has a section for customer testimonials, but it hasn't been updated in a while. It would be beneficial to refresh these testimonials periodically. Low urgency.",0.28
4,"I noticed a grammatical error in the terms and conditions of the bank's mobile app. While it's not critical, correcting it would improve clarity. Low urgency.",0.22
5,The bank's mobile app icon on my phone's home screen looks outdated compared to other apps. It would be nice if the bank updated it to a more modern design. Low urgency.,0.27
6,"I received a survey request from the bank asking about my satisfaction with their services. While I appreciate the effort, I don't have time to fill it out right now. Low urgency.",0.24
7,"The bank's website has a blog section, but it hasn't been updated in several months. It would be beneficial to publish new blog posts more regularly. Low urgency.",0.26
8,"I noticed a discrepancy between the bank's logo displayed on their website and the one on their mobile app. While it's a minor detail, consistency would be nice. Low urgency.",0.23
9,"The bank's mobile app sends push notifications for every transaction, which can be overwhelming. It would be helpful if users could customize their notification preferences. Low urgency.",0.29
10,"I received a notification from the bank reminding me to set up automatic bill payments, but I prefer to pay manually. It would be helpful if users could opt out of these reminders. Low urgency.",0.21
11,"I noticed that the bank's website has a section for financial tips, but the content seems outdated. It would be beneficial to refresh these tips with more current information. Low urgency.",0.27
12,"The bank's mobile app has a feature for budget tracking, but it doesn't offer insights or recommendations. It would be useful if it provided more actionable advice. Low urgency.",0.26
13,"I received a generic birthday email from the bank with a discount offer, but I don't plan to use it. It would be nice if the bank personalized these messages based on user preferences. Low urgency.",0.24
14,"The bank's website has a section for frequently asked questions, but some of the answers are outdated. It would be helpful to update them to reflect current policies. Low urgency.",0.25
15,"I received a notification from the bank about an upcoming webinar on financial planning, but I'm not available to attend. It would be nice if the bank offered webinar recordings for later viewing. Low urgency.",0.23
16,"The bank's mobile app has a feature for financial goal setting, but it lacks customization options. It would be beneficial if users could tailor their goals more specifically. Low urgency.",0.22
17,"I received an email newsletter from the bank with tips for saving money, but they were too generic to be useful. It would be beneficial if the bank provided more targeted advice. Low urgency.",0.28
18,"The bank's website has a section for customer testimonials, but it lacks diversity in the voices represented. It would be beneficial to feature a wider range of customer experiences. Low urgency.",0.26
19,"I noticed that the bank's website loads slowly on my mobile device compared to other sites. While it's not a major issue, improving loading times would enhance user experience. Low urgency.",0.27
20,"The bank's mobile app has a feature for tracking spending habits, but it doesn't provide insights into areas for improvement. It would be useful if it offered suggestions for reducing expenses. Low urgency.",0.29
21,"I received an email from the bank congratulating me on reaching a savings milestone, but I don't recall setting any specific savings goals. It would be helpful if the bank provided more context for these messages. Low urgency.",0.24
22,"The bank's website has a section for financial calculators, but some of the calculators are outdated or inaccurate. It would be helpful to review and update them for accuracy. Low urgency.",0.25
23,"I received a notification from the bank about a limited-time offer for a credit card upgrade, but I'm satisfied with my current card. It would be nice if users could opt out of these promotional messages. Low urgency.",0.26
24,"The bank's mobile app has a feature for setting savings goals, but it doesn't provide guidance on how to achieve them. It would be useful if it offered tips or resources for reaching financial milestones. Low urgency.",0.23
0,"Upon reviewing my credit card statement, I discovered an unauthorized transaction for a significant amount. This transaction was not initiated or authorized by me, and I'm deeply concerned about potential fraudulent activity on my account. I have immediately suspended my card to prevent further unauthorized charges, but urgent assistance is required from the bank to investigate this matter thoroughly. I request a detailed investigation into the transaction, including its origin, timing, and any associated parties. Additionally, I urge the bank to expedite the reversal of this unauthorized charge and implement measures to enhance the security of my account to prevent similar incidents in the future.",0.85
1,"I encountered a distressing situation when attempting to make a purchase using my debit card. Despite having ample funds in my account, the transaction was declined without any explanation. This occurrence left me in a precarious position as I urgently needed to complete the purchase. I promptly contacted customer service, but the issue remains unresolved, causing significant inconvenience. I implore the bank to prioritize resolving this matter swiftly to restore my confidence in the reliability of my debit card for future transactions.",0.92
2,"An alarming notification alerted me to a large transaction debited from my account, which I did not authorize. This unauthorized deduction has raised serious concerns regarding the security of my account and the possibility of fraudulent activity. I immediately contacted the bank to report this issue and request an investigation into the origin and legitimacy of the transaction. The urgency of this matter cannot be overstated, as the potential financial implications are significant. I urge the bank to expedite the investigation process and ensure the immediate reversal of this unauthorized transaction to safeguard my financial interests.",0.95
3,An unsettling discrepancy has emerged concerning a recent transaction made with my debit card. The amount debited from my account does not align with the value indicated on the receipt provided by the merchant. This inconsistency has left me perplexed and concerned about potential errors or discrepancies in the bank's records. Urgent clarification is necessary to reconcile these discrepancies and ensure the accuracy and integrity of my account statements. I urge the bank to investigate this matter promptly and provide a detailed explanation of the discrepancy to alleviate my concerns and restore confidence in the reliability of my banking transactions.,0.88
4,"A distressing incident occurred while attempting to withdraw cash from an ATM using my debit card. Despite multiple attempts, the machine malfunctioned, failing to dispense cash, yet debiting my account for the attempted withdrawals. This unexpected occurrence has left me in a precarious financial situation, as the deducted amount remains inaccessible. Urgent resolution is imperative to refund the debited amount and rectify the technical malfunction of the ATM. I urge the bank to expedite the resolution process to mitigate the financial inconvenience caused by this incident and restore trust in the reliability of their banking services.",0.94
5,"My credit card statement revealed a disturbing irregularity, as I noticed duplicate charges for the same transaction. This double billing has resulted in an overdraft on my account, leading to additional financial strain and inconvenience. Urgent intervention is necessary to rectify this billing error and refund the duplicate charges to my account promptly. I implore the bank to expedite the resolution process and implement measures to prevent similar billing discrepancies in the future, ensuring the integrity and accuracy of their billing systems.",0.9
6,"A concerning notification alerted me to a payment made to an unfamiliar merchant from my account, which I did not initiate or authorize. This unauthorized transaction has raised serious concerns regarding the security of my account and the potential exposure to fraudulent activity. Urgent investigation is imperative to determine the origin and legitimacy of this transaction and prevent further unauthorized access to my account. I urge the bank to prioritize this matter and undertake a thorough investigation to safeguard my financial interests and restore confidence in the security of their banking services.",0.96
7,"I encountered a significant inconvenience when attempting to use my debit card for transactions due to a damaged magnetic strip. Despite numerous attempts, the card was repeatedly declined, rendering it unusable for essential purchases and transactions. Urgent replacement of the damaged card is essential to restore my ability to access funds and conduct transactions smoothly. I implore the bank to expedite the issuance of a new card to mitigate the inconvenience caused by this technical issue and ensure uninterrupted access to my banking services.",0.91
